Iteration,real,user,sys,cpu%,maxrss
1,0:04.15,120.79,1.86,2951%,1907712
2,0:04.12,121.15,1.71,2979%,1905168
1,0:04.21,123.84,1.75,2977%,1991576
2,0:04.19,122.64,1.77,2964%,1929532
3,0:04.22,123.09,1.77,2957%,1963192
4,0:04.16,121.67,1.73,2960%,1906896
5,0:04.17,122.73,1.71,2977%,1934652
6,0:04.15,122.11,1.73,2984%,1854420
7,0:04.23,124.21,1.79,2977%,1957856
8,0:04.20,122.94,1.81,2967%,1967032
9,0:04.20,124.00,1.66,2985%,1929024
10,0:04.24,124.91,1.64,2981%,1918764
11,0:04.20,123.60,1.64,2979%,1855348
12,0:04.20,123.45,1.62,2976%,1864184
13,0:04.16,122.63,1.73,2985%,1931856
14,0:04.17,122.61,1.77,2977%,1925920
15,0:04.16,122.62,1.70,2982%,1833812
16,0:04.16,122.24,1.63,2972%,2019028
17,0:04.19,123.65,1.61,2986%,1924324
18,0:04.18,122.92,1.66,2977%,1961476
19,0:04.20,123.79,1.65,2984%,1969336
20,0:04.15,122.33,1.75,2985%,1748856
21,0:04.16,122.52,1.71,2982%,1898476
22,0:04.21,123.84,1.71,2982%,1997648
23,0:04.21,123.91,1.67,2980%,2027844
24,0:04.20,124.02,1.66,2988%,1852112
25,0:04.24,124.41,1.75,2970%,1940432
26,0:04.19,123.38,1.68,2979%,1858392
27,0:04.19,122.95,1.70,2970%,1832916
28,0:04.17,122.82,1.57,2982%,1921140
29,0:04.18,122.97,1.72,2976%,1892388
30,0:04.19,123.25,1.73,2982%,1930144
