Iteration,real,user,sys,cpu%,maxrss,major_page_faults,minor_page_faults
1,3:56.82,221.43,18.56,101%,36025056
2,3:58.44,223.17,18.43,101%,35337636
3,3:55.99,220.51,18.66,101%,34413568
4,3:55.97,220.48,18.66,101%,34351664
5,3:56.13,221.23,18.06,101%,35435604
6,3:58.93,223.31,18.80,101%,37271532
7,3:55.76,220.38,18.56,101%,36025040
8,3:56.53,220.90,18.81,101%,36025144
9,3:55.68,220.41,18.44,101%,37049580
10,3:57.57,221.97,18.79,101%,33795904
11,4:01.03,225.52,18.69,101%,34413840
12,3:58.67,223.00,18.85,101%,35337716
13,3:58.12,223.47,17.83,101%,37273928
14,3:56.99,221.31,18.86,101%,34351816
15,4:00.20,224.46,18.92,101%,34413564
16,3:58.53,222.90,18.81,101%,36025068
17,3:56.80,221.66,18.30,101%,34351896
18,3:55.92,220.05,19.05,101%,34413556
19,3:55.95,221.05,18.06,101%,36024900
20,3:56.70,220.81,19.06,101%,34351832
21,3:59.45,223.03,19.58,101%,35337776
22,3:56.64,220.73,19.10,101%,36025156
23,4:00.14,224.50,18.81,101%,35337636
24,4:01.18,225.18,19.19,101%,36025144
25,3:55.56,220.49,18.24,101%,35435612
26,3:59.23,223.98,18.43,101%,35337692
27,4:01.28,225.43,19.03,101%,34351712
28,3:56.32,220.76,18.74,101%,36025248
29,3:59.28,224.11,18.36,101%,35337720
30,3:57.23,221.82,18.58,101%,37273908
